journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
1360,0,0.0,10,15,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,1,2.0,10,16,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,2,4.0,10,18,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,3,6.0,10,20,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,4,8.0,10,22,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,5,10.0,10,24,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,6,12.0,10,26,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,7,14.0,10,28,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,8,16.0,10,31,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,9,18.0,10,33,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,10,20.0,10,35,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,11,22.0,10,37,0,0,23.9,24.0,0.42,Car,7.57,35.6
1360,12,24.0,10,39,0,0,23.9,24.0,0.42,Car,7.57,35.6
